team,season,season_type,safety,interception,fumble,fumble_lost,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,def_touchdown,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv,defense_snaps,rush_snaps,pass_snaps,win,loss,tie,win_pct,rush_pct,pass_pct
SEA,2023,REG,0.0,11.0,17.0,10.0,13.0,4.0,2.0,652.0,289.0,117.0,47.0,95.0,3,0.0,0.0,0.0,0.0,1148,504,631,9.0,8.0,0.0,0.529,0.44,0.55
SF,2023,POST,0.0,3.0,8.0,3.0,4.0,4.0,0.0,121.0,47.0,17.0,5.0,18.0,0,0.0,0.0,0.0,0.0,214,86,127,14.0,6.0,0.0,0.7,0.4,0.59
SF,2023,REG,1.0,22.0,17.0,5.0,11.0,6.0,2.0,621.0,239.0,108.0,48.0,113.0,1,0.0,0.0,0.0,0.0,1044,363,671,14.0,6.0,0.0,0.7,0.35,0.64
TB,2023,POST,1.0,0.0,1.0,0.0,1.0,0.0,0.0,72.0,23.0,10.0,5.0,10.0,0,0.0,0.0,0.0,0.0,125,38,83,10.0,9.0,0.0,0.526,0.3,0.66
TB,2023,REG,1.0,13.0,27.0,13.0,19.0,8.0,4.0,618.0,253.0,109.0,48.0,83.0,1,1.0,0.0,0.0,0.0,1088,415,661,10.0,9.0,0.0,0.526,0.38,0.61
TEN,2023,REG,0.0,6.0,18.0,10.0,13.0,6.0,2.0,639.0,296.0,146.0,45.0,80.0,1,1.0,1.0,0.0,0.0,1098,471,618,6.0,11.0,0.0,0.353,0.43,0.56
WAS,2023,REG,0.0,8.0,16.0,10.0,10.0,7.0,2.0,624.0,262.0,105.0,39.0,79.0,0,0.0,0.0,0.0,0.0,1122,473,636,4.0,13.0,0.0,0.235,0.42,0.57
ARI,2024,REG,2.0,9.0,22.0,7.0,17.0,5.0,4.0,565.0,290.0,89.0,41.0,73.0,0,0.0,0.0,0.0,0.0,1046,453,579,8.0,9.0,0.0,0.471,0.43,0.55
ATL,2024,REG,1.0,12.0,16.0,5.0,12.0,4.0,3.0,616.0,258.0,67.0,31.0,73.0,3,0.0,0.0,0.0,0.0,1070,444,608,8.0,9.0,0.0,0.471,0.41,0.57
BAL,2024,POST,0.0,0.0,1.0,0.0,0.0,1.0,0.0,55.0,28.0,2.0,5.0,10.0,0,0.0,0.0,0.0,0.0,104,44,57,13.0,6.0,0.0,0.684,0.42,0.55
