player_id,player_name,position,birth_year,draft_year,draft_round,draft_pick,draft_ovr,height,weight,college,season,team,season_type,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,safety,interception,def_touchdown,defensive_two_point_attempt,fumble_forced,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv,defense_snaps,team_defense_snaps,defense_pct,age
00-0020426,Casey Hampton,NT,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,PIT,REG,14.0,17.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,368.0,728.0,0.5054945054945055,0.0
00-0020442,Richard Seymour,DT,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,LV,REG,22.0,3.0,1.0,12.0,13.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0020444,Jeff Backus,T,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,SF,REG,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0020489,Andre Carter,DE,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,LV,REG,18.0,11.0,4.0,9.0,14.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0020495,Nate Clements,CB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,CIN,POST,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,80.0,80.0,1.0,0.0
00-0020495,Nate Clements,CB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,CIN,REG,30.0,25.0,5.0,0.0,10.0,0.0,3.0,0.0,0.0,3,0.0,0.0,0.0,580.0,819.0,0.7081807081807082,0.0
00-0020498,Reggie Wayne,WR,1978,2001.0,1.0,30.0,30.0,72.0,203.0,Miami (Fla.),2012,BUF,REG,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
00-0020498,Reggie Wayne,WR,1978,2001.0,1.0,30.0,30.0,72.0,203.0,Miami (Fla.),2012,DET,REG,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
00-0020498,Reggie Wayne,WR,1978,2001.0,1.0,30.0,30.0,72.0,203.0,Miami (Fla.),2012,GB,REG,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
00-0020498,Reggie Wayne,WR,1978,2001.0,1.0,30.0,30.0,72.0,203.0,Miami (Fla.),2012,JAX,REG,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
00-0020498,Reggie Wayne,WR,1978,2001.0,1.0,30.0,30.0,72.0,203.0,Miami (Fla.),2012,NE,REG,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
00-0020498,Reggie Wayne,WR,1978,2001.0,1.0,30.0,30.0,72.0,203.0,Miami (Fla.),2012,TEN,REG,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
00-0020505,Adrian Wilson,SS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,ARI,REG,51.0,17.0,8.0,12.0,13.0,0.0,2.0,0.0,0.0,2,0.0,0.0,0.0,845.0,1017.0,0.8308751229105211,0.0
00-0020515,Ryan Pickett,DT,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,GB,POST,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,75.0,140.0,0.5357142857142857,0.0
00-0020515,Ryan Pickett,DT,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,GB,REG,25.0,29.0,10.0,0.0,2.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,570.0,1089.0,0.5234159779614325,0.0
00-0020531,Drew Brees,QB,1979,2001.0,2.0,1.0,32.0,72.0,209.0,Purdue,2012,KC,REG,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
00-0020535,Justin Smith,DE,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,SF,POST,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,117.0,125.0,0.936,0.0
00-0020535,Justin Smith,DE,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,SF,REG,58.0,28.0,16.0,14.0,20.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,820.0,940.0,0.8723404255319149,0.0
00-0020712,James Harrison,OLB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,PIT,REG,59.0,34.0,23.0,22.0,29.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,762.0,764.0,0.9973821989528796,0.0
00-0020840,Ryan Clark,FS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,PIT,REG,66.0,44.0,30.0,0.0,5.0,0.0,4.0,0.0,0.0,4,0.0,0.0,0.0,883.0,927.0,0.952535059331176,0.0
00-0020867,Ma'ake Kemoeatu,NT,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,BAL,POST,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,84.0,268.0,0.3134328358208955,0.0
00-0020867,Ma'ake Kemoeatu,NT,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,BAL,REG,15.0,18.0,14.0,4.0,6.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,363.0,870.0,0.4172413793103448,0.0
00-0020873,Bart Scott,ILB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,NYJ,REG,45.0,32.0,7.0,11.0,15.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,572.0,1010.0,0.5663366336633663,0.0
00-0021081,Bryan Thomas,OLB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,NYJ,REG,30.0,8.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,290.0,526.0,0.5513307984790875,0.0
00-0021085,Will Witherspoon,OLB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,TEN,REG,25.0,22.0,12.0,2.0,4.0,0.0,2.0,2.0,0.0,4,0.0,0.0,0.0,365.0,648.0,0.5632716049382716,0.0
00-0021092,Justin Bannan,DT,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,DEN,POST,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,50.0,81.0,0.6172839506172839,0.0
00-0021092,Justin Bannan,DT,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,DEN,REG,26.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,499.0,1016.0,0.4911417322834646,0.0
00-0021140,Julius Peppers,DE,1980,2002.0,1.0,2.0,2.0,79.0,295.0,North Carolina,2012,CHI,REG,65.0,13.0,1.0,47.0,46.0,0.0,1.0,0.0,0.0,6,0.0,0.0,0.0,706.0,936.0,0.7542735042735043,32.0
00-0021146,Dwight Freeney,DE,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,IND,REG,29.0,2.0,0.0,19.0,26.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,576.0,720.0,0.8,0.0
00-0021186,Sheldon Brown,CB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,CLE,REG,60.0,9.0,3.0,3.0,5.0,0.0,8.0,2.0,0.0,4,0.0,0.0,0.0,878.0,1041.0,0.8434197886647454,0.0
00-0021192,Deion Branch,WR,1979,2002.0,2.0,33.0,65.0,69.0,195.0,Louisville,2012,SEA,REG,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
00-0021219,Chris Hope,SS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,ATL,POST,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.0,126.0,0.0952380952380952,0.0
00-0021219,Chris Hope,SS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,ATL,REG,10.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,254.0,264.0,0.9621212121212122,0.0
